okrug,raion,price,living_complex,title,rooms,metro_time,info_total_area,info_living_area,info_kitchen_area,info_floor,info_total_floors,info_year_built,rent_price_per_month,rent_jkh,rent_deposit,rent_commissions,rent_prepayment,rent_term,rent_living_conditions
СВАО,р-н Лианозово,70000,,"Сдается 1-комн. квартира, 37,6 м²",1,4.0,37.6,18.0,11.0,8,22,,70000,включена (без счётчиков),70 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Рязановское поселение,35000,ЖК «Остафьево»,"Сдается студия, 25 м²",студия,7.0,25.0,25.0,,12,12,2022.0,35000,включена (счётчики включены),35 000 ₽,нет,1 месяц,от года,можно с животными
САО,р-н Головинский,59990,ЖК «Кронштадтский 9»,"Сдается студия, 26 м²",студия,5.0,26.0,18.0,3.0,26,32,2023.0,59990,включена (без счётчиков),30 000 ₽,нет,1 месяц,несколько месяцев,
ВАО,р-н Гольяново,55000,,"Сдается 1-комн. квартира, 36 м²",1,3.0,36.0,21.0,9.0,6,12,1967.0,55000,включена (без счётчиков),55 000 ₽,нет,1 месяц,от года,
ЗелАО,р-н Старое Крюково,29000,ЖК «My Space в Зеленограде (Май Спейс в Зеленограде)»,"Сдается студия, 12 м²",студия,12.0,12.0,,,5,9,1973.0,29000,включена (без счётчиков),29 000 ₽,нет,1 месяц,несколько месяцев,
ВАО,р-н Богородское,65000,,"Сдается 1-комн. квартира, 38,5 м²",1,6.0,38.5,,,8,16,1983.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮВАО,р-н Южнопортовый,95000,ЖК «Метрополия»,"Сдается 1-комн. квартира, 42 м²",1,4.0,42.0,15.0,16.0,6,30,,95000,включена (без счётчиков),95 000 ₽,нет,1 месяц,от года,
ЦАО,р-н Пресненский,97000,,"Сдается 1-комн. квартира, 33 м²",1,6.0,33.0,13.0,10.0,6,14,1986.0,97000,включена (без счётчиков),97 000 ₽,нет,1 месяц,от года,
САО,р-н Войковский,120000,ЖК «Северный парк»,"Сдается 2-комн. квартира, 73 м²",2,9.0,73.0,,,17,40,2012.0,120000,включена (без счётчиков),100 000 ₽,нет,1 месяц,от года,можно с детьми и животными
САО,р-н Хорошевский,145000,ЖК «Дом на Беговой»,"Сдается 2-комн. квартира, 62 м²",2,3.0,62.0,54.0,5.0,7,37,2010.0,145000,включена (без счётчиков),145 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),Кокошкино дп,38000,ЖК «Новое Внуково»,"Сдается студия, 24 м²",студия,11.0,24.0,,,5,15,2023.0,38000,включена (без счётчиков),38 000 ₽,нет,1 месяц,несколько месяцев,
ЮАО,р-н Даниловский,350000,ЖК «Донской Олимп»,"Сдается 4-комн. квартира, 133 м²",4,12.0,133.0,110.0,12.0,12,19,2017.0,350000,включена (без счётчиков),350 000 ₽,нет,1 месяц,от года,можно с детьми
ЮАО,р-н Орехово-Борисово Южное,48000,,"Сдается 1-комн. квартира, 39 м²",1,4.0,39.0,19.0,8.4,5,17,,48000,включена (без счётчиков),30 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Нижегородский,100000,,"Сдается 2-комн. квартира, 78 м²",2,14.0,78.0,55.0,12.0,9,18,2009.0,100000,включена (без счётчиков),100 000 ₽,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Люблино,35000,,"Сдается 1-комн. квартира, 48 м²",1,8.0,48.0,37.0,8.0,14,14,1991.0,35000,включена (без счётчиков),35 000 ₽,нет,1 месяц,от года,можно с детьми и животными
НАО (Новомосковский),ул. Генерала Пилипенко,39000,ЖК «Кленовые Аллеи»,"Сдается 1-комн. квартира, 35 м²",1,16.0,35.0,,9.0,4,17,2022.0,39000,включена (без счётчиков),45 000 ₽,нет,1 месяц,от года,можно с детьми
СВАО,р-н Алексеевский,260000,ЖК «EgoDom (ЭгоДом)»,"Сдается 2-комн. квартира, 56,3 м²",2,5.0,56.3,33.0,12.0,7,10,2018.0,260000,включена (без счётчиков),390 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Даниловский,240000,ЖК «Nagatino i-Land (Нагатино Ай-Ленд)»,"Сдается 3-комн. квартира, 89 м²",3,14.0,89.0,48.0,20.0,8,15,2022.0,240000,включена (счётчики включены),240 000 ₽,нет,1 месяц,от года,можно с детьми
ВАО,р-н Перово,40000,,"Сдается студия, 31,5 м²",студия,11.0,31.5,,,1,5,1963.0,40000,включена (без счётчиков),10 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми и животными
ВАО,р-н Вешняки,45000,,"Сдается 1-комн. квартира, 35 м²",1,5.0,35.0,25.0,6.0,7,9,1972.0,45000,включена (без счётчиков),45 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Донской,105000,ЖК «Новоданиловская 8»,"Сдаются 1-комн. апартаменты, 33 м²",1,14.0,33.0,20.0,8.0,2,24,,105000,включена (без счётчиков),110 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Лефортово,110000,ЖК «Пётр I»,"Сдается 2-комн. квартира, 51 м²",2,14.0,51.0,,,8,23,2018.0,110000,включена (счётчики включены),110 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Западное Дегунино,37000,ЖК «Дегунин»,"Сдается апартаменты-студия, 11 м²",студия,8.0,11.0,8.0,3.0,5,9,2019.0,37000,включена (без счётчиков),37 000 ₽,нет,1 месяц,несколько месяцев,
САО,р-н Войковский,114000,,"Сдается 2-комн. квартира, 50 м²",2,10.0,50.0,30.0,6.0,5,9,1974.0,114000,включена (счётчики включены),114 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Некрасовка,33000,ЖК «Некрасовка-Парк»,"Сдается студия, 25 м²",студия,6.0,25.0,,,3,19,2015.0,33000,включена (без счётчиков),33 000 ₽,нет,1 месяц,от года,
ЦАО,р-н Тверской,125000,,"Сдается 2-комн. квартира, 53,4 м²",2,6.0,53.4,31.4,6.9,5,9,1973.0,125000,включена (без счётчиков),125 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Западное Дегунино,46000,ЖК «Бусиновский парк»,"Сдается студия, 25 м²",студия,7.0,25.0,,20.0,10,33,2023.0,46000,включена (без счётчиков),40 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Даниловский,130000,ЖК «Play (Плэй)»,"Сдается апартаменты-студия, 40 м²",студия,2.0,40.0,20.0,10.0,10,12,2020.0,130000,включена (счётчики включены),130 ₽,нет,1 месяц,от года,
САО,р-н Головинский,55000,,"Сдается 2-комн. квартира, 44 м²",2,4.0,44.0,30.0,5.2,2,5,1962.0,55000,включена (без счётчиков),55 000 ₽,нет,1 месяц,от года,можно с детьми
СЗАО,р-н Строгино,48000,,"Сдается 1-комн. квартира, 32,5 м²",1,3.0,32.5,18.0,6.0,8,9,1979.0,48000,включена (без счётчиков),нет,нет,1 месяц,несколько месяцев,можно с детьми
ЗАО,р-н Филевский парк,140000,ЖК «Западный порт»,"Сдается 2-комн. квартира, 39 м²",2,9.0,39.0,33.0,4.0,18,20,2022.0,140000,включена (счётчики включены),160 000 ₽,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Лефортово,140000,ЖК «Символ»,"Сдается 2-комн. квартира, 60 м²",2,12.0,60.0,,13.0,9,14,,140000,включена (без счётчиков),140 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),Новомосковский административный округ,33990,,"Сдается апартаменты-студия, 15 м²",студия,6.0,15.0,,,2,3,,33990,включена (счётчики включены),33 990 ₽,нет,1 месяц,от года,
ВАО,р-н Метрогородок,44000,,"Сдается 1-комн. квартира, 30,6 м²",1,7.0,30.6,19.0,6.5,2,5,1963.0,44000,включена (без счётчиков),44 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Раменки,135000,ЖК «Крылья»,"Сдается 1-комн. квартира, 53 м²",1,4.0,53.0,30.0,16.0,36,39,2022.0,135000,включена (счётчики включены),75 000 ₽,нет,1 месяц,от года,можно с детьми
СЗАО,р-н Хорошево-Мневники,135000,ЖК «Утесов»,"Сдается 2-комн. квартира, 53 м²",2,17.0,53.0,46.0,,2,31,2019.0,135000,включена (без счётчиков),нет,нет,1 месяц,от года,
ЮВАО,р-н Лефортово,135000,ЖК «Символ»,"Сдается 2-комн. квартира, 58 м²",2,9.0,58.0,38.0,10.0,7,15,2023.0,135000,включена (без счётчиков),нет,нет,1 месяц,от года,
ВАО,р-н Преображенское,70000,ЖК «Re:Form (РеФорм)»,"Сдается апартаменты-студия, 27 м²",студия,4.0,27.0,,3.0,6,10,2017.0,70000,включена (без счётчиков),70 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми
СЗАО,р-н Покровское-Стрешнево,85000,ЖК «Апарт-комплекс Движение.Тушино»,"Сдаются 2-комн. апартаменты, 34,5 м²",2,5.0,34.5,30.0,3.0,7,22,,85000,включена (без счётчиков),85 000 ₽,нет,1 месяц,от года,можно с детьми
ЮЗАО,р-н Черемушки,48000,,"Сдается 1-комн. квартира, 33 м²",1,4.0,33.0,21.0,6.0,6,9,1963.0,48000,включена (без счётчиков),48 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Очаково-Матвеевское,96000,ЖК «Матвеевский парк»,"Сдается 2-комн. квартира, 36,35 м²",2,4.0,36.35,10.7,18.2,6,17,,96000,включена (без счётчиков),96 000 ₽,нет,1 месяц,от года,можно с детьми
СВАО,р-н Марфино,57000,ЖК «Апартаменты Алтай»,"Сдается студия, 20 м²",студия,6.0,20.0,,,3,5,1956.0,57000,включена (счётчики включены),57 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Внуковское поселение,60000,ЖК «Рассказово»,"Сдается 1-комн. квартира, 44,9 м²",1,6.0,44.9,16.7,14.2,4,9,2017.0,60000,включена (без счётчиков),60 000 ₽,нет,1 месяц,от года,можно с детьми
